order_id,customer_id,order_date,status,delivery_street,delivery_postal_code,delivery_city,total_amount_chf,currency,warehouse_origin
O083,C030,2024-12-11,PENDING,Neue Jonastrasse 60,8640,Rapperswil-Jona,4200.00,CHF,Zürich
O084,C022,2024-12-15,PENDING,Hauptgasse 6,9050,Appenzell,560.00,CHF,Zürich
O085,C027,2024-12-19,PENDING,Tellistrasse 25,5000,Aarau,2750.00,CHF,Zürich
O086,C024,2024-12-23,CANCELLED,Route de Saint-Cergue 21,1260,Nyon,1900.00,CHF,Bern
O087,C002,2025-01-06,CANCELLED,Gewerbeweg 8,3001,Bern,3400.00,CHF,Bern
O088,C011,2025-01-10,CANCELLED,Technikumstrasse 9,8400,Winterthur,850.00,CHF,Zürich
O089,C007,2025-01-14,PENDING,Münchensteinerstrasse 67,4052,Basel,6100.00,CHF,Basel
O090,C005,2025-01-18,PENDING,Rue du Lac 15,1201,Genève,1250.00,CHF,Bern
O091,C010,2025-01-22,CONFIRMED,Hauptgasse 55,4500,Solothurn,3700.00,CHF,Bern
O092,C023,2025-01-26,CONFIRMED,Aarauerstrasse 14,4600,Olten,2050.00,CHF,Basel
O093,C004,2025-01-30,CONFIRMED,Bahnhofstrasse 22,4310,Rheinfelden,4800.00,CHF,Basel
O094,C016,2025-02-03,CONFIRMED,Vordergasse 73,8200,Schaffhausen,1560.00,CHF,Zürich
O095,C006,2025-02-07,PENDING,Pilatusstrasse 33,6003,Luzern,2300.00,CHF,Zürich
O096,C020,2025-02-11,PENDING,Baarerstrasse 52,6300,Zug,890.00,CHF,Zürich
O097,C013,2025-02-15,PENDING,Badenerstrasse 101,5400,Baden,5400.00,CHF,Zürich
O098,C019,2025-02-19,PENDING,Multergasse 20,9000,St. Gallen,1780.00,CHF,Zürich
O099,C008,2025-02-23,PENDING,Avenue de Rhodanie 40,1007,Lausanne,3200.00,CHF,Bern
O100,C021,2025-02-27,PENDING,Rue de Nidau 35,2502,Biel/Bienne,2450.00,CHF,Bern
