shipment_id,order_id,vehicle_id,origin_warehouse,destination_city,destination_postal_code,status,created_at,shipped_at,delivered_at,weight_kg,volume_m3,requires_customs,customs_declaration_id
S028,O068,V017,Bern,Neuchâtel,2000,DELIVERED,2024-03-09 09:00:00,2024-03-09 10:00:00,2024-03-09 13:00:00,140.5,2.1,FALSE,
S029,O070,V006,Basel,Liestal,4410,DELIVERED,2024-03-11 07:30:00,2024-03-11 08:15:00,2024-03-11 10:00:00,35.2,0.4,FALSE,
S030,O073,V012,Zürich,Schwyz,6430,DELIVERED,2024-03-13 08:30:00,2024-03-13 09:30:00,2024-03-13 12:30:00,115.8,1.8,FALSE,
S031,O075,V003,Bern,Sion,1950,IN_TRANSIT,2024-03-15 06:00:00,2024-03-15 07:30:00,,260.0,4.0,FALSE,
S032,O078,V014,Basel,Bellinzona,6500,IN_TRANSIT,2024-03-17 07:00:00,2024-03-17 08:30:00,,195.3,3.0,FALSE,
S033,O080,V020,Zürich,Davos,7270,IN_TRANSIT,2024-03-19 08:00:00,2024-03-19 09:30:00,,78.4,1.2,FALSE,
S034,O082,V008,Bern,Spiez,3700,IN_TRANSIT,2024-03-20 09:00:00,2024-03-20 10:00:00,,145.6,2.2,FALSE,
S035,O085,V005,Basel,Rheinfelden,4310,IN_TRANSIT,2024-03-21 07:30:00,2024-03-21 08:15:00,,230.1,3.6,FALSE,
S036,O088,V010,Zürich,Wil,9500,PICKED_UP,2024-03-22 08:00:00,2024-03-22 09:00:00,,55.9,0.8,FALSE,
S037,O090,V016,Bern,Langenthal,4900,PICKED_UP,2024-03-22 09:30:00,2024-03-22 10:30:00,,82.3,1.2,FALSE,
S038,O092,V001,Basel,Weil am Rhein,79576,CUSTOMS_HOLD,2024-03-22 06:00:00,2024-03-22 07:30:00,,350.0,5.5,TRUE,CD006
S039,O095,V018,Zürich,Uster,8610,PICKED_UP,2024-03-23 08:00:00,2024-03-23 08:45:00,,38.7,0.5,FALSE,
S040,O097,V007,Bern,Burgdorf,3400,PICKED_UP,2024-03-23 09:00:00,2024-03-23 09:45:00,,105.4,1.6,FALSE,
S041,O003,V013,Basel,Zürich,8005,CREATED,2024-03-23 14:00:00,,,160.2,2.5,FALSE,
S042,O008,V019,Zürich,Basel,4001,CREATED,2024-03-23 14:30:00,,,88.6,1.3,FALSE,
S043,O014,V004,Bern,Genève,1205,CREATED,2024-03-23 15:00:00,,,275.0,4.2,TRUE,CD007
S044,O022,V011,Basel,Luzern,6005,CREATED,2024-03-24 07:00:00,,,135.9,2.1,FALSE,
S045,O027,V002,Zürich,Bern,3008,CREATED,2024-03-24 07:30:00,,,98.3,1.5,FALSE,
S046,O032,V015,Basel,Chiasso,6830,RETURNED,2024-02-10 08:00:00,2024-02-10 09:30:00,2024-02-15 16:00:00,45.2,0.6,TRUE,CD008
S047,O037,V009,Zürich,Appenzell,9050,RETURNED,2024-02-20 08:30:00,2024-02-20 09:45:00,2024-02-25 14:00:00,22.8,0.3,FALSE,
S048,O044,V017,Bern,Nyon,1260,DELIVERED,2024-03-01 09:00:00,2024-03-01 10:15:00,2024-03-01 15:00:00,170.5,2.6,FALSE,
S049,O056,V006,Basel,Brugg,5200,DELIVERED,2024-03-10 07:00:00,2024-03-10 08:00:00,2024-03-10 11:00:00,62.4,0.9,FALSE,
S050,O099,V012,Zürich,Kreuzlingen,8280,IN_TRANSIT,2024-03-22 08:00:00,2024-03-22 09:30:00,,125.7,1.9,TRUE,CD009
